,Neighbourhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,"Adelaide, King, Richmond",Coffee Shop,Café,Thai Restaurant,Bar,Steakhouse,Burger Joint,Hotel,Bakery,Sushi Restaurant,American Restaurant
1,Berczy Park,Coffee Shop,Cocktail Bar,Steakhouse,Bakery,Restaurant,Café,Farmers Market,Seafood Restaurant,Italian Restaurant,Cheese Shop
2,"Brockton, Exhibition Place, Parkdale Village",Breakfast Spot,Coffee Shop,Café,Performing Arts Venue,Burrito Place,Stadium,Caribbean Restaurant,Bar,Furniture / Home Store,Climbing Gym
3,Business Reply Mail Processing Centre 969 Eastern,Fast Food Restaurant,Recording Studio,Farmers Market,Spa,Comic Shop,Skate Park,Burrito Place,Light Rail Station,Restaurant,Auto Workshop
4,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",Airport Lounge,Airport Service,Airport Terminal,Harbor / Marina,Airport,Airport Food Court,Airport Gate,Boutique,Boat or Ferry,Sculpture Garden
5,"Cabbagetown, St. James Town",Coffee Shop,Park,Restaurant,Pizza Place,Bakery,Pub,Italian Restaurant,Café,Market,Beer Store
6,Central Bay Street,Coffee Shop,Café,Italian Restaurant,Burger Joint,Bubble Tea Shop,Bar,Salad Place,Sushi Restaurant,Chinese Restaurant,Ice Cream Shop
7,"Chinatown, Grange Park, Kensington Market",Café,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Bar,Coffee Shop,Bakery,Chinese Restaurant,Mexican Restaurant,Caribbean Restaurant,Comfort Food Restaurant
8,Christie,Café,Grocery Store,Park,Nightclub,Restaurant,Baby Store,Athletics & Sports,Italian Restaurant,Diner,Coffee Shop
9,Church and Wellesley,Coffee Shop,Japanese Restaurant,Gay Bar,Sushi Restaurant,Restaurant,Burger Joint,Fast Food Restaurant,Pub,Bubble Tea Shop,Café
10,"Commerce Court, Victoria Hotel",Coffee Shop,Café,Hotel,Restaurant,Steakhouse,Gym,American Restaurant,Bakery,Deli / Bodega,Italian Restaurant
11,Davisville,Dessert Shop,Sandwich Place,Pizza Place,Sushi Restaurant,Italian Restaurant,Café,Coffee Shop,Thai Restaurant,American Restaurant,Pharmacy
12,Davisville North,Sandwich Place,Breakfast Spot,Gym,Park,Hotel,Food & Drink Shop,Burger Joint,Asian Restaurant,Eastern European Restaurant,Doner Restaurant
13,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",Pub,Convenience Store,Coffee Shop,American Restaurant,Bagel Shop,Sushi Restaurant,Supermarket,Sports Bar,Light Rail Station,Medical Center
14,"Design Exchange, Toronto Dominion Centre",Coffee Shop,Café,Hotel,Gastropub,American Restaurant,Deli / Bodega,Italian Restaurant,Restaurant,Seafood Restaurant,Beer Bar
15,"Dovercourt Village, Dufferin",Pharmacy,Supermarket,Bakery,Discount Store,Music Venue,Brewery,Liquor Store,Middle Eastern Restaurant,Café,Bar
16,"First Canadian Place, Underground city",Coffee Shop,Café,Hotel,Steakhouse,Seafood Restaurant,Gym,Bar,Bakery,Burger Joint,Restaurant
17,"Forest Hill North, Forest Hill West",Jewelry Store,Trail,Park,Sushi Restaurant,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Yoga Studio
18,"Harbord, University of Toronto",Café,Bar,Japanese Restaurant,Bookstore,Restaurant,Bakery,College Arts Building,Pub,Beer Bar,Beer Store
19,"Harbourfront East, Toronto Islands, Union Station",Coffee Shop,Hotel,Aquarium,Café,Italian Restaurant,Pizza Place,Brewery,Restaurant,Scenic Lookout,Baseball Stadium
20,"Harbourfront, Regent Park",Coffee Shop,Café,Bakery,Pub,Park,Breakfast Spot,Theater,Mexican Restaurant,Electronics Store,Brewery
21,"High Park, The Junction South",Café,Mexican Restaurant,Flea Market,Gastropub,Music Venue,Diner,Sandwich Place,Cajun / Creole Restaurant,Fast Food Restaurant,Bookstore
22,Lawrence Park,Park,Swim School,Bus Line,Yoga Studio,Dog Run,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Event Space,Ethiopian Restaurant
23,"Little Portugal, Trinity",Bar,Coffee Shop,Asian Restaurant,Vietnamese Restaurant,Café,Restaurant,Boutique,Bakery,Pizza Place,Men's Store
24,"Moore Park, Summerhill East",Restaurant,Playground,Tennis Court,Summer Camp,Yoga Studio,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Electronics Store
25,North Toronto West,Clothing Store,Coffee Shop,Sporting Goods Shop,Yoga Studio,Park,Sandwich Place,Salon / Barbershop,Rental Car Location,Chinese Restaurant,Gym / Fitness Center
26,"Parkdale, Roncesvalles",Breakfast Spot,Gift Shop,Bookstore,Bank,Bar,Eastern European Restaurant,Dog Run,Italian Restaurant,Restaurant,Cuban Restaurant
27,Rosedale,Park,Playground,Trail,Diner,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store
28,Roselawn,Home Service,Ice Cream Shop,Garden,Yoga Studio,Dog Run,Filipino Restaurant,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Event Space
29,"Runnymede, Swansea",Pizza Place,Coffee Shop,Café,Sushi Restaurant,Italian Restaurant,Bookstore,Smoothie Shop,School,Burrito Place,Sandwich Place
30,"Ryerson, Garden District",Coffee Shop,Clothing Store,Cosmetics Shop,Café,Theater,Bar,Tea Room,Thai Restaurant,Fast Food Restaurant,Japanese Restaurant
31,St. James Town,Coffee Shop,Restaurant,Hotel,Café,Breakfast Spot,Gastropub,Cosmetics Shop,Bakery,Clothing Store,Cocktail Bar
32,Stn A PO Boxes 25 The Esplanade,Coffee Shop,Restaurant,Café,Cocktail Bar,Seafood Restaurant,Italian Restaurant,Hotel,Fast Food Restaurant,Cosmetics Shop,Farmers Market
33,Studio District,Café,Coffee Shop,Gastropub,Italian Restaurant,American Restaurant,Bakery,Yoga Studio,Convenience Store,Brewery,Seafood Restaurant
34,"The Annex, North Midtown, Yorkville",Sandwich Place,Café,Coffee Shop,Pizza Place,BBQ Joint,Park,Indian Restaurant,Pub,Liquor Store,Cheese Shop
